categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO EN METROBUS SV,2020-01-17 09:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CAPULTITLAN,-99.13314878976057,19.4769859488395,36,Rojo
ROBO EN METROBUS SV,2018-12-03 20:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TORRES LINDAVISTA,-99.1542820947268,19.4959584706701,18,Rojo
ROBO EN METROBUS SV,2018-12-07 18:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GRANJAS MODERNAS,-99.1061313433947,19.482211286328003,34,Rojo
ROBO EN METROBUS SV,2018-10-23 23:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SANTA ROSA,-99.1663643164435,19.5235486006039,6,Verde
ROBO EN METROBUS SV,2020-04-11 19:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,EL OLIVO,-99.0885130003106,19.474581096128198,29,Naranja
ROBO EN METROBUS SV,2019-02-19 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA VALLEJO,-99.15391,19.49519,18,Rojo
ROBO EN METROBUS SV,2019-08-02 07:14:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.10537,19.48219,34,Rojo
ROBO EN METROBUS SV,2018-08-03 11:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.13838,19.49183,26,Verde
ROBO EN METROBUS SV,2019-10-01 09:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11971,19.49679,50,Rojo
ROBO EN METROBUS SV,2019-09-01 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GUADALUPE VICTORIA CUAUTEPEC,-99.13798,19.544,-1,Rojo
ROBO EN METROBUS SV,2018-10-01 06:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO ZACATENCO,-99.11721999999999,19.5021,38,Naranja
ROBO EN METROBUS SV,2017-10-13 07:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.1220961999999,19.5002856998328,28,Naranja
ROBO EN METROBUS SV,2018-05-17 15:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LA MALINCHE,-99.1081692359264,19.4538740750781,10,Naranja
ROBO EN METROBUS SV,2018-04-30 08:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1337126003885,19.4907299418755,32,Naranja
ROBO EN METROBUS SV,2020-06-25 06:54:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1255136826664,19.485109908301602,46,Rojo
ROBO EN METROBUS SV,2020-05-29 12:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO PONIENTE,-99.14000933230601,19.46875125129069,23,Rojo
ROBO EN METROBUS SV,2020-05-28 05:21:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO EL CHICO,-99.09755382482679,19.4787690851127,42,Rojo
ROBO EN METROBUS SV,2018-09-10 07:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1257408992148,19.4859395906655,46,Rojo
ROBO EN METROBUS SV,2018-09-13 09:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,Gustavo A. Madero,-99.1192810078249,19.4952654025835,51,Rojo
ROBO EN METROBUS SV,2018-10-26 18:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1535728900421,19.4949391204137,18,Rojo
ROBO EN METROBUS SV,2018-08-10 06:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,INFONAVIT LORETO FABELA,-99.0803495998479,19.4715364041208,-1,Rojo
ROBO EN METROBUS SV,2018-08-30 14:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.11879893676421,19.4850861596943,39,Verde
ROBO EN METROBUS SV,2018-08-31 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.1200208838019,19.494055594003,49,Verde
ROBO EN METROBUS SV,2016-01-29 07:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO ZACATENCO,-99.117471,19.501969999833502,38,Naranja
ROBO EN METROBUS SV,2016-07-19 16:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN JUAN DE ARAGON,-99.0805071246944,19.465037625174,-1,Rojo
ROBO EN METROBUS SV,2018-07-17 19:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.12209045673019,19.4865392748238,43,Rojo
ROBO EN METROBUS SV,2018-07-23 15:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GRANJAS MODERNAS,-99.09904437222342,19.4755643613666,25,Verde
ROBO EN METROBUS SV,2018-06-30 17:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,AMPLIACION EMILIANO ZAPATA,-99.1048956942284,19.4613402289438,-1,Rojo
ROBO EN METROBUS SV,2018-07-09 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO ZACATENCO,-99.1169073191967,19.5023131581001,38,Naranja
ROBO EN METROBUS SV,2018-06-25 08:10:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.10163448948627,19.48071938347589,27,Naranja
ROBO EN METROBUS SV,2018-09-07 17:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GERTRUDIS SANCHEZ 1A SECCION,-99.09767807696998,19.47877040989361,42,Rojo
ROBO EN METROBUS SV,2018-08-16 07:25:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LA CRUZ,-99.10121956484707,19.4903718742044,-1,Rojo
